# lib | status | bindings | high_conf | sym_infer | unknown | note
libjli.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libawt.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libawt_headless.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libawt_xawt.so|OK|0|0|0|0|
libdt_socket.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libfontmanager.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libhprof.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libinstrument.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libj2gss.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libj2pcsc.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libj2pkcs11.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libjaas_unix.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjava.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libjava_crw_demo.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjawt.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjdwp.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjpeg.so|OK|0|0|0|0|
libjsdt.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjsig.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjsound.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjsoundalsa.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
liblcms.so|OK|0|0|0|0|
libmanagement.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libmlib_image.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libnet.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libnio.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libnpt.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsctp.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libsplashscreen.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsunec.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libunpack.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libverify.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libzip.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libjvm.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
ld-linux-x86-64.so.2|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
ld.so.cache|SKIPPED_NOT_ELF|0|0|0|0|not ELF: Magic number does not match
ld.so.conf|SKIPPED_NOT_ELF|0|0|0|0|not ELF: Magic number does not match
libBrokenLocale.so.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libacl.so.1.1.2301|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libanl.so.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libapt-pkg.so.6.0.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libapt-private.so.0.0.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libattr.so.1.1.2501|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libaudit.so.1.0.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libawt.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libawt_headless.so|OK|0|0|0|0|no .data.rel.ro* (non-PIC or unusual layout)
libawt_xawt.so|OK|0|0|0|0|
libblkid.so.1.1.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libbpf.so.0.5.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libbrotlicommon.so.1.0.9|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libbrotlidec.so.1.0.9|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libbrotlienc.so.1.0.9|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libbsd.so.0.11.5|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libbz2.so.1.0.4|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libc.so.6|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
