# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjava.so|java.lang.Class.desiredAssertionStatus0|(Ljava/lang/Class;)Z|JVM_DesiredAssertionStatus|BIN_SCAN
libjava.so|java.lang.Class.getComponentType|()Ljava/lang/Class;|JVM_GetComponentType|BIN_SCAN
libjava.so|java.lang.Class.getConstantPool|()Lsun/reflect/ConstantPool;|JVM_GetClassConstantPool|BIN_SCAN
libjava.so|java.lang.Class.getDeclaredClasses0|()[Ljava/lang/Class;|JVM_GetDeclaredClasses|BIN_SCAN
libjava.so|java.lang.Class.getDeclaredConstructors0|(Z)[Ljava/lang/reflect/Constructor;|JVM_GetClassDeclaredConstructors|BIN_SCAN
libjava.so|java.lang.Class.getDeclaredFields0|(Z)[Ljava/lang/reflect/Field;|JVM_GetClassDeclaredFields|BIN_SCAN
libjava.so|java.lang.Class.getDeclaredMethods0|(Z)[Ljava/lang/reflect/Method;|JVM_GetClassDeclaredMethods|BIN_SCAN
libjava.so|java.lang.Class.getDeclaringClass0|()Ljava/lang/Class;|JVM_GetDeclaringClass|BIN_SCAN
libjava.so|java.lang.Class.getEnclosingMethod0|()[Ljava/lang/Object;|JVM_GetEnclosingMethodInfo|BIN_SCAN
libjava.so|java.lang.Class.getGenericSignature0|()Ljava/lang/String;|JVM_GetClassSignature|BIN_SCAN
libjava.so|java.lang.Class.getInterfaces0|()[Ljava/lang/Class;|JVM_GetClassInterfaces|BIN_SCAN
libjava.so|java.lang.Class.getModifiers|()I|JVM_GetClassModifiers|BIN_SCAN
libjava.so|java.lang.Class.getName0|()Ljava/lang/String;|JVM_GetClassName|BIN_SCAN
libjava.so|java.lang.Class.getProtectionDomain0|()Ljava/security/ProtectionDomain;|JVM_GetProtectionDomain|BIN_SCAN
libjava.so|java.lang.Class.getRawAnnotations|()[B|JVM_GetClassAnnotations|BIN_SCAN
libjava.so|java.lang.Class.getRawTypeAnnotations|()[B|JVM_GetClassTypeAnnotations|BIN_SCAN
libjava.so|java.lang.Class.getSigners|()[Ljava/lang/Object;|JVM_GetClassSigners|BIN_SCAN
libjava.so|java.lang.Class.getSuperclass|()Ljava/lang/Class;|<unresolved>|BIN_SCAN
libjava.so|java.lang.Class.isArray|()Z|JVM_IsArrayClass|BIN_SCAN
libjava.so|java.lang.Class.isInterface|()Z|JVM_IsInterface|BIN_SCAN
libjava.so|java.lang.Class.isPrimitive|()Z|JVM_IsPrimitiveClass|BIN_SCAN
