14:01:03.833107346 execve runc:[1:CHILD] runc
14:01:03.834893328 execve docker-entrypoi /bin/bash
14:01:03.841051991 execve docker-entrypoi /bin/bash
14:01:03.841378989 execve id id
14:01:03.846164281 execve docker-entrypoi /bin/bash
14:01:03.846441473 execve find find
14:01:03.864203661 execve docker-entrypoi /bin/bash
14:01:03.864638341 execve gosu gosu
14:01:03.886170201 execve gosu gosu
14:01:03.890323743 execve docker-entrypoi /bin/bash
14:01:03.894417232 execve docker-entrypoi /bin/bash
14:01:03.894764524 execve id id
14:01:03.898927161 execve docker-entrypoi /bin/bash
14:01:03.899437791 execve ip ip
14:01:03.899546838 execve docker-entrypoi /bin/bash
14:01:03.899944962 execve awk awk
14:01:03.907564447 execve docker-entrypoi /bin/bash
14:01:03.907820059 execve mktemp mktemp
14:01:03.910550036 execve docker-entrypoi /bin/bash
14:01:03.910804902 execve sed sed
14:01:03.916514147 execve docker-entrypoi /bin/bash
14:01:03.916898607 execve cat cat
14:01:03.919515988 execve docker-entrypoi /bin/bash
14:01:03.919820914 execve rm rm
14:01:03.927017309 execve docker-entrypoi /bin/bash
14:01:03.927279494 execve mktemp mktemp
14:01:03.929449564 execve docker-entrypoi /bin/bash
14:01:03.929781848 execve sed sed
14:01:03.936738393 execve docker-entrypoi /bin/bash
14:01:03.937319845 execve cat cat
14:01:03.939511156 execve docker-entrypoi /bin/bash
14:01:03.939804946 execve rm rm
14:01:03.942915883 execve docker-entrypoi /bin/bash
14:01:03.943328360 execve mktemp mktemp
14:01:03.945445142 execve docker-entrypoi /bin/bash
14:01:03.945711584 execve sed sed
14:01:03.968151772 execve docker-entrypoi /bin/bash
14:01:03.968456062 execve cat cat
14:01:03.970711470 execve docker-entrypoi /bin/bash
14:01:03.970963881 execve rm rm
14:01:03.973809816 execve docker-entrypoi /bin/bash
14:01:03.974070412 execve mktemp mktemp
14:01:03.976136484 execve docker-entrypoi /bin/bash
14:01:03.976383309 execve sed sed
14:01:03.980745396 execve docker-entrypoi /bin/bash
14:01:03.981014097 execve cat cat
14:01:03.983104777 execve docker-entrypoi /bin/bash
14:01:03.983327043 execve rm rm
14:01:03.990283345 execve docker-entrypoi /bin/bash
14:01:03.990551448 execve mktemp mktemp
14:01:03.992691933 execve docker-entrypoi /bin/bash
14:01:03.992968359 execve sed sed
14:01:03.997644455 execve docker-entrypoi /bin/bash
14:01:03.997932142 execve cat cat
14:01:04.000196940 execve docker-entrypoi /bin/bash
14:01:04.000411830 execve rm rm
14:01:04.002386081 execve docker-entrypoi /bin/bash
14:01:04.002787749 execve cassandra /bin/sh
14:01:04.004356639 execve cassandra /bin/sh
14:01:04.004553665 execve dirname dirname
14:01:04.006862019 execve cassandra /bin/sh
14:01:04.007068643 execve which /bin/sh
14:01:04.009109572 execve cassandra /bin/sh
14:01:04.009281473 execve numactl numactl
14:01:04.011958376 execve cassandra /bin/sh
14:01:04.012176679 execve java /opt/java/openjdk/bin/java
14:01:04.154467483 execve cassandra /bin/sh
14:01:04.154724613 execve cassandra /bin/sh
14:01:04.154806731 execve grep grep
14:01:04.154992529 execve awk awk
14:01:04.158939147 execve cassandra /bin/sh
14:01:04.159210636 execve grep grep
