=== Skipped Methods (VerifyError/Exceptions during body building) ===
Format: methodSig | exceptionType | message

<ch.qos.logback.classic.servlet.LogbackServletContainerInitializer: void onStartup(java.util.Set,javax.servlet.ServletContext)> | java.lang.VerifyError | Cannot inherit from final class
<ch.qos.logback.core.net.SMTPAppenderBase: void sendBuffer(ch.qos.logback.core.helpers.CyclicBuffer,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.driver.core.AbstractTableMetadata: java.lang.StringBuilder spaceOrNewLine(java.lang.StringBuilder,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.driver.core.ArrayBackedResultSet: com.datastax.driver.core.ArrayBackedResultSet fromMessage(com.datastax.driver.core.Responses$Result,com.datastax.driver.core.SessionManager,com.datastax.driver.core.ProtocolVersion,com.datastax.driver.core.ExecutionInfo,com.datastax.driver.core.Statement)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.driver.core.SessionManager: com.datastax.driver.core.Message$Request makeRequestMessage(com.datastax.driver.core.Statement,java.nio.ByteBuffer)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.buffer.ByteBufUtil: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.buffer.PooledByteBufAllocator: com.datastax.shaded.netty.buffer.ByteBuf newHeapBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.buffer.PooledByteBufAllocator: com.datastax.shaded.netty.buffer.ByteBuf newDirectBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.buffer.UnpooledByteBufAllocator: com.datastax.shaded.netty.buffer.ByteBuf newHeapBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.buffer.UnpooledByteBufAllocator: com.datastax.shaded.netty.buffer.ByteBuf newDirectBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.channel.DefaultChannelPipeline: void callHandlerCallbackLater(com.datastax.shaded.netty.channel.AbstractChannelHandlerContext,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.channel.PendingBytesTracker: com.datastax.shaded.netty.channel.PendingBytesTracker newTracker(com.datastax.shaded.netty.channel.Channel)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.channel.group.DefaultChannelGroup: com.datastax.shaded.netty.channel.group.ChannelGroupFuture write(java.lang.Object,com.datastax.shaded.netty.channel.group.ChannelMatcher,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.channel.group.DefaultChannelGroup: com.datastax.shaded.netty.channel.group.ChannelGroupFuture writeAndFlush(java.lang.Object,com.datastax.shaded.netty.channel.group.ChannelMatcher,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.codec.marshalling.CompatibleMarshallingDecoder: void decode(com.datastax.shaded.netty.channel.ChannelHandlerContext,com.datastax.shaded.netty.buffer.ByteBuf,java.util.List)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.codec.protobuf.ProtobufDecoder: void <init>(com.google.protobuf.MessageLite,com.google.protobuf.ExtensionRegistry)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.ssl.JdkAlpnApplicationProtocolNegotiator: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.ssl.JettyNpnSslEngine: void <init>(javax.net.ssl.SSLEngine,com.datastax.shaded.netty.handler.ssl.JdkApplicationProtocolNegotiator,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.ssl.OpenSsl: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
