declared_library	symbol	source_report
c	setrlimit	jna_directmap_hits.txt
c	geteuid	jna_directmap_hits.txt
c	getrlimit	jna_directmap_hits.txt
c	strerror	jna_directmap_hits.txt
c	mlockall	jna_directmap_hits.txt
kernel32	SetConsoleCtrlHandler	jna_directmap_hits.txt
kernel32	VirtualLock	jna_directmap_hits.txt
kernel32	CloseHandle	jna_directmap_hits.txt
kernel32	CreateJobObjectW	jna_directmap_hits.txt
kernel32	SetInformationJobObject	jna_directmap_hits.txt
kernel32	AssignProcessToJobObject	jna_directmap_hits.txt
kernel32	GetCurrentProcess	jna_directmap_hits.txt
kernel32	VirtualQueryEx	jna_directmap_hits.txt
kernel32	QueryInformationJobObject	jna_directmap_hits.txt
kernel32	GetShortPathNameW	jna_directmap_hits.txt
kernel32	SetProcessWorkingSetSize	jna_directmap_hits.txt
<?>	ffi_prep_closure	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	setDouble	jna_directmap_hits.txt
<?>	getWideString	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	getChar	jna_directmap_hits.txt
<?>	getDirectByteBuffer	jna_directmap_hits.txt
<?>	ffi_prep_cif	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	initIDs	jna_directmap_hits.txt
<?>	setDetachState	jna_directmap_hits.txt
<?>	getNativeVersion	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	getDirectByteBuffer	jna_directmap_hits.txt
<?>	unregister	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	getInt	jna_directmap_hits.txt
<?>	registerMethod	jna_directmap_hits.txt
<?>	invokeInt	jna_directmap_hits.txt
<?>	invokeStructure	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	setLong	jna_directmap_hits.txt
<?>	getStringBytes	jna_directmap_hits.txt
<?>	freeNativeCallback	jna_directmap_hits.txt
<?>	createNativeCallback	jna_directmap_hits.txt
<?>	getShort	jna_directmap_hits.txt
<?>	setPointer	jna_directmap_hits.txt
<?>	invokePointer	jna_directmap_hits.txt
<?>	setWideString	jna_directmap_hits.txt
<?>	free	jna_directmap_hits.txt
<?>	ffi_call	jna_directmap_hits.txt
<?>	open	jna_directmap_hits.txt
<?>	invokeVoid	jna_directmap_hits.txt
<?>	getByte	jna_directmap_hits.txt
<?>	getDouble	jna_directmap_hits.txt
<?>	setProtected	jna_directmap_hits.txt
<?>	invokeLong	jna_directmap_hits.txt
<?>	setMemory	jna_directmap_hits.txt
<?>	sizeof	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	initialize_ffi_type	jna_directmap_hits.txt
<?>	findSymbol	jna_directmap_hits.txt
<?>	malloc	jna_directmap_hits.txt
<?>	invokeObject	jna_directmap_hits.txt
<?>	indexOf	jna_directmap_hits.txt
<?>	getFloat	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	setShort	jna_directmap_hits.txt
<?>	setByte	jna_directmap_hits.txt
<?>	close	jna_directmap_hits.txt
<?>	setLastError	jna_directmap_hits.txt
<?>	setFloat	jna_directmap_hits.txt
<?>	getLastError	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	getWindowHandle0	jna_directmap_hits.txt
<?>	getLong	jna_directmap_hits.txt
<?>	invokeFloat	jna_directmap_hits.txt
<?>	isProtected	jna_directmap_hits.txt
<?>	_getPointer	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	getAPIChecksum	jna_directmap_hits.txt
<?>	setInt	jna_directmap_hits.txt
<?>	write	jna_directmap_hits.txt
<?>	_getDirectBufferPointer	jna_directmap_hits.txt
<?>	ffi_free_closure	jna_directmap_hits.txt
<?>	read	jna_directmap_hits.txt
<?>	invokeDouble	jna_directmap_hits.txt
<?>	setChar	jna_directmap_hits.txt
<?>	priv_set	jna_iface_hits.txt
<?>	sandbox_init	jna_iface_hits.txt
<?>	sandbox_free_error	jna_iface_hits.txt
<?>	syscall	jna_iface_hits.txt
<?>	prctl	jna_iface_hits.txt
