declared_library	symbol	reason	source_report
kernel32	SetConsoleCtrlHandler	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	VirtualLock	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	CloseHandle	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	CreateJobObjectW	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	SetInformationJobObject	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	AssignProcessToJobObject	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	GetCurrentProcess	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	VirtualQueryEx	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	QueryInformationJobObject	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	GetShortPathNameW	library not found in Dataset/LIBS	jna_directmap_hits.txt
kernel32	SetProcessWorkingSetSize	library not found in Dataset/LIBS	jna_directmap_hits.txt
<?>	ffi_prep_closure	dynamic or unknown binding	jna_directmap_hits.txt
<?>	write	dynamic or unknown binding	jna_directmap_hits.txt
<?>	setDouble	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getWideString	dynamic or unknown binding	jna_directmap_hits.txt
<?>	read	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getChar	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getDirectByteBuffer	dynamic or unknown binding	jna_directmap_hits.txt
<?>	ffi_prep_cif	dynamic or unknown binding	jna_directmap_hits.txt
<?>	read	dynamic or unknown binding	jna_directmap_hits.txt
<?>	write	dynamic or unknown binding	jna_directmap_hits.txt
<?>	initIDs	dynamic or unknown binding	jna_directmap_hits.txt
<?>	setDetachState	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getNativeVersion	dynamic or unknown binding	jna_directmap_hits.txt
<?>	read	dynamic or unknown binding	jna_directmap_hits.txt
<?>	read	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getDirectByteBuffer	dynamic or unknown binding	jna_directmap_hits.txt
<?>	unregister	dynamic or unknown binding	jna_directmap_hits.txt
<?>	read	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getInt	dynamic or unknown binding	jna_directmap_hits.txt
<?>	registerMethod	dynamic or unknown binding	jna_directmap_hits.txt
<?>	invokeInt	dynamic or unknown binding	jna_directmap_hits.txt
<?>	invokeStructure	dynamic or unknown binding	jna_directmap_hits.txt
<?>	write	dynamic or unknown binding	jna_directmap_hits.txt
<?>	setLong	dynamic or unknown binding	jna_directmap_hits.txt
<?>	getStringBytes	dynamic or unknown binding	jna_directmap_hits.txt
