=== JNA Interface Mapping Hits ===
Format: callerSig | lib | symbol | apiPattern | interface | calleeSig | callerJar | calleeJar

<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: java.lang.String ttyname(int)> | <?> | ttyname_r | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.CLibrary | <org.jline.terminal.impl.jna.freebsd.CLibrary: void ttyname_r(int,byte[],int)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty open(org.jline.terminal.spi.TerminalProvider,org.jline.terminal.Attributes,org.jline.terminal.Size)> | util | openpty | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty$UtilLibrary | <org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty$UtilLibrary: void openpty(int[],int[],byte[],org.jline.terminal.impl.jna.freebsd.CLibrary$termios,org.jline.terminal.impl.jna.freebsd.CLibrary$winsize)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: void setSize(org.jline.terminal.Size)> | <?> | ioctl | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.CLibrary | <org.jline.terminal.impl.jna.freebsd.CLibrary: void ioctl(int,long,org.jline.terminal.impl.jna.freebsd.CLibrary$winsize)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: org.jline.terminal.Size getSize()> | <?> | ioctl | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.CLibrary | <org.jline.terminal.impl.jna.freebsd.CLibrary: void ioctl(int,long,org.jline.terminal.impl.jna.freebsd.CLibrary$winsize)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: int isatty(int)> | <?> | isatty | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.CLibrary | <org.jline.terminal.impl.jna.freebsd.CLibrary: int isatty(int)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: org.jline.terminal.Attributes getAttr()> | <?> | tcgetattr | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.CLibrary | <org.jline.terminal.impl.jna.freebsd.CLibrary: void tcgetattr(int,org.jline.terminal.impl.jna.freebsd.CLibrary$termios)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.freebsd.FreeBsdNativePty: void doSetAttr(org.jline.terminal.Attributes)> | <?> | tcsetattr | Native.load(String,Class) | org.jline.terminal.impl.jna.freebsd.CLibrary | <org.jline.terminal.impl.jna.freebsd.CLibrary: void tcsetattr(int,int,org.jline.terminal.impl.jna.freebsd.CLibrary$termios)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.linux.LinuxNativePty: int isatty(int)> | <?> | isatty | Native.load(String,Class) | org.jline.terminal.impl.jna.linux.CLibrary | <org.jline.terminal.impl.jna.linux.CLibrary: int isatty(int)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
<org.jline.terminal.impl.jna.linux.LinuxNativePty: void setSize(org.jline.terminal.Size)> | <?> | ioctl | Native.load(String,Class) | org.jline.terminal.impl.jna.linux.CLibrary | <org.jline.terminal.impl.jna.linux.CLibrary: void ioctl(int,int,org.jline.terminal.impl.jna.linux.CLibrary$winsize)> | jline-terminal-jna-3.30.9.jar | jline-terminal-jna-3.30.9.jar
