15:29:32.391372596 execve runc:[1:CHILD] runc
15:29:32.394855654 execve docker-entrypoi /bin/bash
15:29:32.394885577 execve docker-entrypoi /bin/bash
15:29:32.405355707 execve docker-entrypoi /bin/bash
15:29:32.405360464 execve docker-entrypoi /bin/bash
15:29:32.406394313 execve solr-foreground /bin/bash
15:29:32.406429451 execve solr-foreground /bin/bash
15:29:32.413446709 execve solr-foreground /bin/bash
15:29:32.413449710 execve solr-foreground /bin/bash
15:29:32.414312259 execve init-var-solr /bin/bash
15:29:32.414333447 execve init-var-solr /bin/bash
15:29:32.425737573 execve solr-foreground /bin/bash
15:29:32.425741063 execve solr-foreground /bin/bash
15:29:32.426391808 execve find find
15:29:32.426414590 execve find find
15:29:32.431246787 execve solr-foreground /bin/bash
15:29:32.431250521 execve solr-foreground /bin/bash
15:29:32.438275474 execve sort sort
15:29:32.438303844 execve sort sort
15:29:32.448195523 execve solr-foreground /bin/bash
15:29:32.448199864 execve solr-foreground /bin/bash
15:29:32.450745394 execve solr-fg /bin/bash
15:29:32.450773380 execve solr-fg /bin/bash
15:29:32.457305827 execve solr-fg /bin/bash
15:29:32.457316520 execve solr-fg /bin/bash
15:29:32.457689763 execve tini /usr/bin/tini
15:29:32.457709755 execve tini /usr/bin/tini
15:29:32.462124185 execve tini /usr/bin/tini
15:29:32.462126941 execve tini /usr/bin/tini
15:29:32.463700413 execve solr /usr/bin/env
15:29:32.463720571 execve solr /usr/bin/env
15:29:32.466645830 execve solr /usr/bin/env
15:29:32.466657927 execve solr /usr/bin/env
15:29:32.466745684 execve solr /usr/bin/env
15:29:32.466768262 execve solr /usr/bin/env
15:29:32.466789760 execve solr /usr/bin/env
15:29:32.466792874 execve solr /usr/bin/env
15:29:32.466878969 execve solr /usr/bin/env
15:29:32.466898674 execve solr /usr/bin/env
15:29:32.466918792 execve solr /usr/bin/env
15:29:32.466921976 execve solr /usr/bin/env
15:29:32.466998491 execve solr /usr/bin/env
15:29:32.467017825 execve solr /usr/bin/env
15:29:32.467037439 execve solr /usr/bin/env
15:29:32.467040513 execve solr /usr/bin/env
