declared_library	symbol	source_report
libssl.so.3	SSL_in_init	ffi_hits.txt
ssl	PKCS12_free	ffi_hits.txt
libssl.so.3	SSL_CTX_set_options	ffi_hits.txt
ssl	DH_free	ffi_hits.txt
ssl	OCSP_request_add1_nonce	ffi_hits.txt
libssl.so.3	SSL_CTX_add_client_CA	ffi_hits.txt
ssl	OCSP_basic_verify	ffi_hits.txt
ssl	OpenSSL_version	ffi_hits.txt
ssl	EVP_MD_fetch	ffi_hits.txt
libssl.so.3	SSL_SESSION_get_id	ffi_hits.txt
libssl.so.3	SSL_shutdown	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_set_ssl_ctx	ffi_hits.txt
ssl	d2i_X509	ffi_hits.txt
ssl	OCSP_resp_get0	ffi_hits.txt
ssl	EVP_MD_get0_provider	ffi_hits.txt
libssl.so.3	SSL_CTX_use_certificate	ffi_hits.txt
libssl.so.3	SSL_read	ffi_hits.txt
ssl	EVP_PKEY_get_bits	ffi_hits.txt
ssl	EC_GROUP_free	ffi_hits.txt
ssl	BIO_new_file	ffi_hits.txt
libssl.so.3	SSL_SESSION_get_time	ffi_hits.txt
libssl.so.3	SSL_get0_alpn_selected	ffi_hits.txt
libssl.so.3	SSL_CTX_free	ffi_hits.txt
libssl.so.3	SSL_CTX_get_ciphers	ffi_hits.txt
ssl	DH_new	ffi_hits.txt
libssl.so.3	SSL_get_privatekey	ffi_hits.txt
libssl.so.3	SSL_CTX_check_private_key	ffi_hits.txt
ssl	X509_STORE_CTX_get0_untrusted	ffi_hits.txt
ssl	X509_STORE_CTX_get_ex_data	ffi_hits.txt
ssl	PEM_read_bio_ECPKParameters	ffi_hits.txt
ssl	OCSP_resp_get0_certs	ffi_hits.txt
ssl	OCSP_check_validity	ffi_hits.txt
libssl.so.3	SSL_CONF_cmd_value_type	ffi_hits.txt
ssl	ASN1_STRING_get0_data	ffi_hits.txt
ssl	BIO_read	ffi_hits.txt
ssl	X509_STORE_CTX_get0_store	ffi_hits.txt
libssl.so.3	SSL_CTX_set_alpn_select_cb	ffi_hits.txt
ssl	X509_STORE_CTX_get_error_depth	ffi_hits.txt
ssl	PKCS12_parse	ffi_hits.txt
ssl	X509_get_ext_by_NID	ffi_hits.txt
ssl	X509_STORE_CTX_get_error	ffi_hits.txt
libssl.so.3	SSL_set_bio	ffi_hits.txt
ssl	OCSP_response_status	ffi_hits.txt
ssl	OCSP_request_add0_id	ffi_hits.txt
libssl.so.3	SSL_get_session	ffi_hits.txt
libssl.so.3	SSL_pending	ffi_hits.txt
ssl	OCSP_REQUEST_free	ffi_hits.txt
ssl	BIO_s_file	ffi_hits.txt
libssl.so.3	SSL_renegotiate	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_finish	ffi_hits.txt
libssl.so.3	SSL_CTX_ctrl	ffi_hits.txt
ssl	X509_STORE_CTX_get_current_cert	ffi_hits.txt
ssl	X509_STORE_CTX_set_error	ffi_hits.txt
ssl	OCSP_cert_to_id	ffi_hits.txt
ssl	ASN1_STRING_length	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_new	ffi_hits.txt
ssl	BIO_s_bio	ffi_hits.txt
ssl	ERR_peek_last_error	ffi_hits.txt
libssl.so.3	SSL_CTX_set_cert_verify_callback	ffi_hits.txt
libssl.so.3	SSL_CTX_set_default_passwd_cb	ffi_hits.txt
ssl	CRYPTO_free	ffi_hits.txt
ssl	d2i_ECPKParameters	ffi_hits.txt
libssl.so.3	SSL_CTX_load_verify_locations	ffi_hits.txt
ssl	EC_KEY_new_by_curve_name	ffi_hits.txt
ssl	PEM_read_bio_DHparams	ffi_hits.txt
ssl	PEM_read_bio_X509_AUX	ffi_hits.txt
ssl	ERR_clear_error	ffi_hits.txt
ssl	ERR_error_string_n	ffi_hits.txt
libssl.so.3	SSL_CIPHER_get_auth_nid	ffi_hits.txt
libssl.so.3	SSL_CTX_set_cipher_list	ffi_hits.txt
libssl.so.3	SSL_CTX_get_timeout	ffi_hits.txt
ssl	X509_STORE_add_lookup	ffi_hits.txt
ssl	EVP_PKEY_get_base_id	ffi_hits.txt
ssl	BIO_new	ffi_hits.txt
libssl.so.3	SSL_get_ex_data_X509_STORE_CTX_idx	ffi_hits.txt
libssl.so.3	SSL_CTX_use_certificate_chain_file	ffi_hits.txt
ssl	BIO_write	ffi_hits.txt
ssl	OCSP_REQUEST_new	ffi_hits.txt
libssl.so.3	SSL_CONF_CTX_free	ffi_hits.txt
libssl.so.3	SSL_CONF_cmd	ffi_hits.txt
libssl.so.3	SSL_CIPHER_get_kx_nid	ffi_hits.txt
ssl	BIO_free	ffi_hits.txt
ssl	EC_GROUP_get_curve_name	ffi_hits.txt
ssl	BIO_ctrl_pending	ffi_hits.txt
libssl.so.3	SSL_CTX_get_cert_store	ffi_hits.txt
ssl	X509_STORE_set_flags	ffi_hits.txt
libssl.so.3	SSL_CTX_get_client_CA_list	ffi_hits.txt
ssl	OpenSSL_version_num	ffi_hits.txt
libssl.so.3	SSL_load_client_CA_file	ffi_hits.txt
ssl	BIO_new_bio_pair	ffi_hits.txt
ssl	ERR_error_string	ffi_hits.txt
libssl.so.3	SSL_get1_peer_certificate	ffi_hits.txt
ssl	X509_check_issued	ffi_hits.txt
ssl	OCSP_BASICRESP_free	ffi_hits.txt
ssl	d2i_X509_bio	ffi_hits.txt
ssl	BN_get_rfc3526_prime_8192	ffi_hits.txt
ssl	OSSL_PROVIDER_get0_name	ffi_hits.txt
ssl	OCSP_CERTID_free	ffi_hits.txt
libssl.so.3	SSL_CTX_set_timeout	ffi_hits.txt
ssl	X509_EXTENSION_get_data	ffi_hits.txt
libssl.so.3	SSL_new	ffi_hits.txt
libssl.so.3	SSL_get_peer_cert_chain	ffi_hits.txt
libssl.so.3	SSL_get_shutdown	ffi_hits.txt
ssl	PEM_ASN1_read_bio	ffi_hits.txt
ssl	RAND_load_file	ffi_hits.txt
ssl	BN_get_rfc3526_prime_4096	ffi_hits.txt
