library	function	address	syscall_count
libcrypto.so.3	ASN1_STRING_length	d57f0	34
libcrypto.so.3	ASN1_STRING_get0_data	d5820	34
libcrypto.so.3	BIO_new	eda60	34
libcrypto.so.3	BIO_free	eda70	34
libcrypto.so.3	BIO_read	edcc0	34
libcrypto.so.3	BIO_write	edd30	34
libcrypto.so.3	BIO_ctrl	ee2b0	34
libcrypto.so.3	BIO_ctrl_pending	ee890	34
libcrypto.so.3	BIO_s_bio	f4290	34
libcrypto.so.3	BIO_new_bio_pair	f42a0	34
libcrypto.so.3	BIO_s_file	f7600	34
libcrypto.so.3	BIO_new_file	f7610	34
libcrypto.so.3	BIO_s_mem	f81b0	34
libcrypto.so.3	BN_get_rfc2409_prime_768	faa50	34
libcrypto.so.3	BN_get_rfc2409_prime_1024	faa70	34
libcrypto.so.3	BN_get_rfc3526_prime_1536	faa90	34
libcrypto.so.3	BN_get_rfc3526_prime_2048	faac0	34
libcrypto.so.3	BN_get_rfc3526_prime_3072	faaf0	34
libcrypto.so.3	BN_get_rfc3526_prime_4096	fab20	34
libcrypto.so.3	BN_get_rfc3526_prime_6144	fab50	34
libcrypto.so.3	BN_get_rfc3526_prime_8192	fab80	34
libcrypto.so.3	BN_new	103710	34
libcrypto.so.3	BN_set_word	1043c0	34
libcrypto.so.3	DH_free	15a600	34
libcrypto.so.3	DH_new	15a910	34
libcrypto.so.3	DH_set0_pqg	15aa70	34
libcrypto.so.3	d2i_ECPKParameters	174b70	34
libcrypto.so.3	EC_KEY_free	1783c0	34
libcrypto.so.3	EC_KEY_new_by_curve_name	178540	34
libcrypto.so.3	EC_GROUP_get_curve_name	17a840	34
libcrypto.so.3	EC_GROUP_free	17ad10	34
libcrypto.so.3	ERR_error_string_n	1d57f0	34
libcrypto.so.3	ERR_error_string	1d5810	34
libcrypto.so.3	ERR_clear_error	1d5a80	34
libcrypto.so.3	ERR_get_error	1d5fd0	34
libcrypto.so.3	ERR_peek_last_error	1d6110	34
libcrypto.so.3	EVP_MD_fetch	1e37b0	34
libcrypto.so.3	EVP_MD_free	1e3840	34
libcrypto.so.3	EVP_MD_get0_provider	1fd2b0	34
