declared_library	symbol	source_report
util	openpty	ffi_all_hits.txt
util	tcgetattr	ffi_all_hits.txt
util	isatty	ffi_all_hits.txt
util	tcsetattr	ffi_all_hits.txt
util	ttyname_r	ffi_all_hits.txt
util	ioctl	ffi_all_hits.txt
util	ioctl	ffi_all_hits.txt
util	openpty	ffi_hits.txt
util	tcgetattr	ffi_hits.txt
util	isatty	ffi_hits.txt
util	tcsetattr	ffi_hits.txt
util	ttyname_r	ffi_hits.txt
util	ioctl	ffi_hits.txt
util	ioctl	ffi_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
util	openpty	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
util	openpty	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	openpty	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	openpty	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
