=== Combined Native Binding Hits ===
Format: detector | payload

ffi | <org.apache.tomcat.util.openssl.openssl_h: int SSL_in_init(java.lang.foreign.MemorySegment)> | libssl.so.3 | SSL_in_init | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: void PKCS12_free(java.lang.foreign.MemorySegment)> | ssl | PKCS12_free | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: long SSL_CTX_set_options(java.lang.foreign.MemorySegment,long)> | libssl.so.3 | SSL_CTX_set_options | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: void DH_free(java.lang.foreign.MemorySegment)> | ssl | DH_free | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: int OCSP_request_add1_nonce(java.lang.foreign.MemorySegment,char,int)> | ssl | OCSP_request_add1_nonce | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: int SSL_CTX_add_client_CA(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | libssl.so.3 | SSL_CTX_add_client_CA | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: int OCSP_basic_verify(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,long)> | ssl | OCSP_basic_verify | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OpenSSL_version(int)> | ssl | OpenSSL_version | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment EVP_MD_fetch(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | EVP_MD_fetch | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_SESSION_get_id(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | libssl.so.3 | SSL_SESSION_get_id | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: int SSL_shutdown(java.lang.foreign.MemorySegment)> | libssl.so.3 | SSL_shutdown | downcallHandle | tomcat-coyote-ffm.jar
ffi | <org.apache.tomcat.util.openssl.openssl_h: void SSL_CONF_CTX_set_ssl_ctx(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | libssl.so.3 | SSL_CONF_CTX_set_ssl_ctx | downcallHandle | tomcat-coyote-ffm.jar
